,system:index,B2,.geo,lon,lat
0,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.52357386381904,30.701272307710827]}",106.52357386381904,30.701272307710827
1,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.63406664376575,30.302420321561762]}",106.63406664376575,30.302420321561762
2,2,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.54603174592204,30.649170021231896]}",106.54603174592204,30.649170021231896
3,3,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.36277542796165,30.50633789105689]}",106.36277542796165,30.50633789105689
4,4,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.41757266029293,30.429981091906733]}",106.41757266029293,30.429981091906733
5,5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.6322700131975,30.308708528550596]}",106.6322700131975,30.308708528550596
6,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.4894378830225,30.328471464801225]}",106.4894378830225,30.328471464801225
7,7,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.40769119216762,30.43716761417969]}",106.40769119216762,30.43716761417969
8,8,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.44003054239593,30.47310022554447]}",106.44003054239593,30.47310022554447
9,9,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.43643728125944,30.47220191026035]}",106.43643728125944,30.47220191026035
10,10,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.40948782273587,30.505439575772773]}",106.40948782273587,30.505439575772773
11,11,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.31516471790331,30.646475075379538]}",106.31516471790331,30.646475075379538
12,12,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.32235124017627,30.524304196739283]}",106.32235124017627,30.524304196739283
13,13,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.34301249171102,30.50633789105689]}",106.34301249171102,30.50633789105689
14,14,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.55591321404735,30.71474703697262]}",106.55591321404735,30.71474703697262
15,15,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.31696134847155,30.516219359182205]}",106.31696134847155,30.516219359182205
16,16,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.49213282887486,30.51442272861397]}",106.49213282887486,30.51442272861397
17,17,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.5999306629692,30.34194619406302]}",106.5999306629692,30.34194619406302
18,18,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.17323090301242,30.500947999352174]}",106.17323090301242,30.500947999352174
19,19,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.41487771444058,30.51082946747749]}",106.41487771444058,30.51082946747749
20,20,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.43733559654356,30.446150767020885]}",106.43733559654356,30.446150767020885
21,21,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.46248842449891,30.628508769697145]}",106.46248842449891,30.628508769697145
22,22,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.48853956773839,30.544067132989912]}",106.48853956773839,30.544067132989912
23,23,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.30797819563035,30.482083378385664]}",106.30797819563035,30.482083378385664
24,24,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.46787831620364,30.56562669980878]}",106.46787831620364,30.56562669980878
25,25,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.37535184193932,30.533287349580476]}",106.37535184193932,30.533287349580476
26,26,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.5397435389332,30.62401719327655]}",106.5397435389332,30.62401719327655
27,27,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.6322700131975,30.300623690993522]}",106.6322700131975,30.300623690993522
28,28,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.34930069869985,30.550355339978747]}",106.34930069869985,30.550355339978747
29,29,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.28911357466384,30.60066099588944]}",106.28911357466384,30.60066099588944
30,30,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.52537049438729,30.372488913723082]}",106.52537049438729,30.372488913723082
