system:index,area,classification,grid,.geo,lon,lat
1_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.44268057248406,30.494974202712775]}",106.44268057248406,30.494974202712775
1_1,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.4030648684544,30.484913071530638]}",106.4030648684544,30.484913071530638
1_2,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.42821769640975,30.522642313463656]}",106.42821769640975,30.522642313463656
1_3,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.39614784076667,30.48176896803622]}",106.39614784076667,30.48176896803622
1_4,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.4225583101198,30.53333226534468]}",106.4225583101198,30.53333226534468
1_5,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.36533562652137,30.532703444645797]}",106.36533562652137,30.532703444645797
1_6,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.37288147490798,30.513210002980404]}",106.37288147490798,30.513210002980404
1_7,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.41375482033543,30.537734010236864]}",106.41375482033543,30.537734010236864
1_8,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.39677666146557,30.458502602177525]}",106.39677666146557,30.458502602177525
1_9,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.37916968189681,30.523271134162542]}",106.37916968189681,30.523271134162542
1_10,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.40054958565887,30.51824056857147]}",106.40054958565887,30.51824056857147
1_11,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.41689892382983,30.49560302341166]}",106.41689892382983,30.49560302341166
1_12,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.3647068058225,30.49748948550831]}",106.3647068058225,30.49748948550831
1_13,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.44330939318296,30.496231844110543]}",106.44330939318296,30.496231844110543
1_14,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.37225265420909,30.535847548140215]}",106.37225265420909,30.535847548140215
1_15,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.39803430286332,30.530816982549144]}",106.39803430286332,30.530816982549144
1_16,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.4219294894209,30.522642313463656]}",106.4219294894209,30.522642313463656
1_17,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.4225583101198,30.51761174787259]}",106.4225583101198,30.51761174787259
1_18,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.38671553028342,30.538991651634632]}",106.38671553028342,30.538991651634632
