system:index,area,class,grid,.geo,lon,lat
2_2890,0,1,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.42444477221645,30.513838823679286]}",106.42444477221645,30.513838823679286
1_209,0,0,17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.65962371359893,30.320790869122]}",106.65962371359892,30.320790869122
2_743,0,1,17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.63698616843912,30.304441530951028]}",106.63698616843912,30.304441530951028
2_948,0,1,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.52065433914565,30.679218667485692]}",106.52065433914564,30.67921866748569
1_1022,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.36533562652137,30.52452877556031]}",106.36533562652136,30.52452877556031
2_228,0,1,17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.71244465230517,30.34594369707735]}",106.71244465230517,30.34594369707735
2_1557,0,1,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.48166745581486,30.704371495441038]}",106.48166745581486,30.70437149544104
2_118,0,1,17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.66779838268442,30.320790869122]}",106.66779838268442,30.320790869122
1_1784,0,0,17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.65773725150228,30.33085200030414]}",106.65773725150228,30.33085200030414
1_688,0,0,17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.6300691407514,30.303812710252142]}",106.6300691407514,30.303812710252146
2_1567,0,1,17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.67157130687772,30.320790869122]}",106.67157130687772,30.320790869122
2_1910,0,1,17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.68414772085539,30.275515778802376]}",106.6841477208554,30.275515778802376
2_2603,0,1,17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.70049705902638,30.281175165092332]}",106.70049705902638,30.28117516509233
2_1346,0,1,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.36785090931691,30.52515759625919]}",106.36785090931691,30.52515759625919
2_1827,0,1,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.53071547032778,30.65532348092811]}",106.53071547032778,30.65532348092811
1_1350,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.40495133055104,30.51258118228152]}",106.40495133055104,30.51258118228152
2_1386,0,1,17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.71244465230517,30.33085200030414]}",106.71244465230517,30.33085200030414
2_873,0,1,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.41186835823876,30.51824056857147]}",106.41186835823876,30.51824056857147
1_290,0,0,17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.70992936950962,30.308843275843213]}",106.70992936950962,30.308843275843213
2_2495,0,1,17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.63887263053577,30.355376007560604]}",106.63887263053576,30.355376007560604
2_792,0,1,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.50053207678137,30.712546164526525]}",106.50053207678135,30.712546164526525
2_3131,0,1,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.50870674586686,30.635201218563832]}",106.50870674586686,30.635201218563832
2_461,0,1,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.47537924882602,30.694939184957782]}",106.47537924882602,30.694939184957786
1_1698,0,0,17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.65773725150228,30.32393497261642]}",106.65773725150228,30.32393497261642
1_736,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.37665439910128,30.535218727441332]}",106.37665439910128,30.53521872744133
1_90,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.46028755205282,30.679218667485692]}",106.46028755205282,30.67921866748569
2_423,0,1,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.42067184802315,30.472336657552965]}",106.42067184802316,30.472336657552965
2_2029,0,1,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.50870674586686,30.679218667485692]}",106.50870674586686,30.67921866748569
1_1530,0,0,17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.63195560284805,30.301297427456607]}",106.63195560284804,30.301297427456607
2_3340,0,1,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.38482906818678,30.472965478251847]}",106.38482906818678,30.472965478251847
1_1107,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.3647068058225,30.523899954861424]}",106.3647068058225,30.523899954861424
1_710,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.47978099371821,30.683620412377877]}",106.4797809937182,30.68362041237788
1_1086,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.42318713081868,30.53207462394691]}",106.42318713081868,30.53207462394691
1_683,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.49235740769588,30.67607456399127]}",106.49235740769588,30.67607456399127
2_199,0,1,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.42758887571087,30.498118306207196]}",106.42758887571088,30.4981183062072
1_1059,0,0,17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.63887263053577,30.303812710252142]}",106.63887263053576,30.303812710252146
1_828,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.3992919442611,30.481140147337335]}",106.3992919442611,30.48114014733733
2_2896,0,1,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.53071547032778,30.721349654310895]}",106.53071547032778,30.72134965431089
2_376,0,1,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.36973737141356,30.5364763688391]}",106.36973737141356,30.5364763688391
1_448,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.52820018753225,30.678589846786807]}",106.52820018753224,30.678589846786807
2_2267,0,1,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.39426137867002,30.500004768303846]}",106.39426137867002,30.50000476830385
1_119,0,0,17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.66151017569558,30.320162048423118]}",106.66151017569558,30.32016204842312
2_1919,0,1,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.38985963377785,30.45787378147864]}",106.38985963377785,30.45787378147864
2_1504,0,1,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.37728321980016,30.461646705671942]}",106.37728321980016,30.461646705671946
2_2159,0,1,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.37539675770351,30.479882505939567]}",106.37539675770353,30.479882505939567
1_399,0,0,17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.63950145123465,30.36040657315167]}",106.63950145123464,30.36040657315167
2_2218,0,1,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.5300866496289,30.696825647054432]}",106.5300866496289,30.696825647054432
1_294,0,0,17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.63635734774024,30.307585634445445]}",106.63635734774024,30.307585634445445
2_1984,0,1,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.47160632463272,30.698712109151085]}",106.47160632463272,30.698712109151085
2_926,0,1,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.42947533780752,30.484913071530638]}",106.42947533780752,30.48491307153064
1_569,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.52379844264006,30.635830039262718]}",106.52379844264006,30.63583003926272
2_329,0,1,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.52757136683337,30.63960296345602]}",106.52757136683336,30.63960296345602
1_150,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.38420024748788,30.50377769249715]}",106.38420024748788,30.50377769249715
1_411,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.40935307544324,30.528301699753612]}",106.40935307544324,30.52830169975361
1_895,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.4257024136142,30.46101788497306]}",106.4257024136142,30.46101788497306
